uttr_id,video_id,start,end,text,valence,arousal,dominance
sample_00000000,sample_00000000,0,3.52,"I don't know! I, I, I don't have experience in this area.",1.0,0.47,0.544
sample_00000001,sample_00000001,0,1.64,"I'm reading, what are you making noise about?",-0.756,0.66,0.208
sample_00000002,sample_00000002,0,2.77,"I grew up in China, it wasn't easy for me. Could you give me a little more? Look, I'm very serious.",-0.756,0.66,0.208
sample_00002977,sample_00002977,0,3.4,You save her face. She has already kicked you out and you still want to save her face. This is called self-abuse.,-0.55,-0.334,-0.702
samplenew_00013817,samplenew_00013817,0,4.21,"No, when I say no, it means no.",0.0,0.0,0.0
sample_00002335,sample_00002335,0,4.84,"I've been listening all afternoon. If it wasn't for the fact that one IP address can only be used once, I would use it a thousand times.",-0.756,0.66,0.208
sample_00002880,sample_00002880,0,13.22,"The two of you are the ones I care about the most in my life, but neither of you want to be with me.",1.0,0.47,0.544
sample_00000352,sample_00000352,0,4.29,"This child is getting a bit old, she's anxious, and you're not getting any younger either.",-0.55,-0.334,-0.702
sample_00001444,sample_00001444,0,5.92,"Huang Weiyi, come here, are you reliable or not? What kind of lousy performance did you arrange for Gu Qing?",-0.756,0.66,0.208
sample_00004690,sample_00004690,0,5.88,"I still haven't recovered, how could I possibly become a third party who destroys other people's relationships?",0.0,0.0,0.0
sample_00004660,sample_00004660,0,2.76,"Hey, are you okay?",0.0,0.0,0.0
sample_00002107,sample_00002107,0,1.6,"Mom, what's the rush?",0.0,0.0,0.0
sample_00004019,sample_00004019,0,7.36,Do you know the feeling of silently staying at the party for my friend... my best friend?,1.0,0.47,0.544
samplenew_00002465,samplenew_00002465,0,5.43,Prefer to self-destruct,0.0,0.0,0.0
sample_00002185,sample_00002185,0,4.0,"Li Kui, let's get a divorce.",-0.55,-0.334,-0.702
sample_00001387,sample_00001387,0,2.48,"What, don't you understand? I said I'm going to sue you in court, do you understand now?",0.0,0.0,0.0
sample_00000648,sample_00000648,0,1.16,Don't talk to me about feelings anymore.,-0.812,0.648,-0.21
sample_00003061,sample_00003061,0,9.6,"Give me an explanation. Anything. Just tell me that you have no choice, just tell me you are doing it for my sake.",0.0,0.0,0.0
sample_00005392,sample_00005392,0,2.48,He is my best friend.,-0.756,0.66,0.208
sample_00002492,sample_00002492,0,3.56,"You don't seem to be in good spirits, didn't you sleep well last night? Here, have some coffee.",0.0,0.0,0.0
sample_00006015,sample_00006015,0,2.44,Who am I to him? I am his own son.,0.0,0.0,0.0
sample_00003683,sample_00003683,0,4.16,Do you know what hurts me the most when I see all of this?,1.0,0.47,0.544
sample_00001362,sample_00001362,0,3.53,"If Guoguo is half as good as you, I would be content. Eat fruit, Brother Fei.",-0.812,0.648,-0.21
sample_00002947,sample_00002947,0,4.4,"It's that serious! Well, if surgery is really needed, can you give an estimate?",-0.812,0.648,-0.21
sample_00006248,sample_00006248,0,3.64,"No, absolutely not! I am your father, I have to be responsible for your future.",0.568,0.71,0.078
sample_00001063,sample_00001063,0,9.01,"I, I've been so unlucky recently, even when I go for a job interview I get beaten up, why am I so unlucky?",0.0,0.0,0.0
sample_00006527,sample_00006527,0,4.16,It's quite difficult to forget the past and start a new life.,1.0,0.47,0.544
sample_00005576,sample_00005576,0,2.22,"As for the specific thin strips, please ask Xiao Pang to help me organize them later.",0.0,0.0,0.0
sample_00001051,sample_00001051,0,5.09,"So I believe, at this very moment, this watch is being collected in your home.",-0.756,0.66,0.208
sample_00004705,sample_00004705,0,8.48,"I'm at work right now. Oh no, what big thing has happened again?",-0.812,0.648,-0.21
sample_00000779,sample_00000779,0,5.44,Begging for mercy.,1.0,0.47,0.544
sample_00002212,sample_00002212,0,2.56,"You would feel better this way, wouldn't you?",-0.812,0.648,-0.21
sample_00006351,sample_00006351,0,2.2,"I finally escaped from the orphanage, but he still doesn't recognize me.",-0.812,0.648,-0.21
sample_00003105,sample_00003105,0,5.55,"You said that one is wrong, one is E and the other is F, you know? There's just one horizontal line difference, and that one line can make a huge difference.",-0.812,0.648,-0.21
sample_00003176,sample_00003176,0,3.28,"A girlfriend is like a charger, with a single style, once connected, it cannot be moved.",-0.756,0.66,0.208
sample_00005854,sample_00005854,0,2.04,"Out of all the jerks and bosses, why did you choose Brother Da?",0.0,0.0,0.0
sample_00002961,sample_00002961,0,1.5,"We don't even have air conditioning, we're still using electric fans.",-0.55,-0.334,-0.702
sample_00002582,sample_00002582,0,2.64,"Alright, alright, then, I'm going in to see Leilei.",-0.812,0.648,-0.21
samplenew_00023513,samplenew_00023513,0,6.35,"You really need to be careful with your hypoglycemia, carry a couple of pieces of candy in your pocket just in case.",1.0,0.47,0.544
sample_00000598,sample_00000598,0,8.26,"You just said earlier that I am a successful businessman, and I clearly understand that beauty is meant to be consumed. Oh, you probably don't quite understand this yet.",-0.812,0.648,-0.21
sample_00006091,sample_00006091,0,4.0,"My mom is absolutely right, you are extremely selfish.",0.0,0.0,0.0
sample_00005112,sample_00005112,0,4.71,We have been together for over a year.,-0.812,0.648,-0.21
sample_00003184,sample_00003184,0,2.64,"Professor Du will not age, but Xiu Xian will.",-0.55,-0.334,-0.702
sample_00006689,sample_00006689,0,3.6,"I don't care who you are, if you dare to bully my younger brother, I will deal with you harshly.",-0.55,-0.334,-0.702
sample_00004736,sample_00004736,0,7.56,"Why didn't it succeed again? This time I even encountered such an accident, and rushed to the scene in a hurry.",-0.756,0.66,0.208
sample_00005608,sample_00005608,0,1.2,"Accepted, I only heard these two words.",-0.55,-0.334,-0.702
sample_00001310,sample_00001310,0,5.08,"I hate it when people pretend to know what they don't. So, if you don't understand books and music well, it's best not to start with these two.",1.0,0.47,0.544
sample_00003417,sample_00003417,0,2.68,"I'm cooking for you to eat, you think too highly of yourself. Do you have a human brain or a dog's brain? You need to think it over.",1.0,0.47,0.544
sample_00006539,sample_00006539,0,4.04,"You little rascal, haven't I been good to you? Yet, you treat me like this, aren't you afraid of karma?",-0.812,0.648,-0.21
sample_00006994,sample_00006994,0,0.96,"What's wrong, Huang Weiyi?",-0.55,-0.334,-0.702
sample_00004086,sample_00004086,0,3.56,"There's no plan, I just got back from a business trip yesterday and had meetings all day.",0.0,0.0,0.0
sample_00001020,sample_00001020,0,5.4,"Me, in our place, so many years have passed, it's all in the past now.",-0.812,0.648,-0.21
sample_00001597,sample_00001597,0,1.41,Gag both of them.,0.568,0.71,0.078
sample_00006923,sample_00006923,0,2.48,"Anyway, you, you, you, you can't be with him.",-0.812,0.648,-0.21
sample_00002099,sample_00002099,0,3.28,"I'll say it again, I will definitely not forgive you for stabbing me in the back.",-0.812,0.648,-0.21
sample_00003634,sample_00003634,0,2.6,"Oh you, what are you even saying here?",1.0,0.47,0.544
sample_00005505,sample_00005505,0,1.68,I just can't stand having one less leg.,-0.55,-0.334,-0.702
sample_00002994,sample_00002994,0,3.0,Want to meet a new challenge through my own efforts.,0.0,0.0,0.0
samplenew_00005985,samplenew_00005985,0,4.36,The reinstatement of the queen mother can only rely on the absolute rule of the emperor's sacred heart.,-0.756,0.66,0.208
sample_00006562,sample_00006562,0,1.67,"The team leader said you were here, so I came.",-0.812,0.648,-0.21
sample_00000445,sample_00000445,0,3.52,"Great Leader Chairman Mao taught us: First, do not fear hardship; second, do not fear death.",0.0,0.0,0.0
sample_00004143,sample_00004143,0,2.17,"Remember, if you can say it, you can do it.",-0.756,0.66,0.208
sample_00005127,sample_00005127,0,4.6,"I am Yuan Hao's girlfriend now, I warn you, if you have any interaction with him in the future, could you please notify me first?",0.568,0.71,0.078
sample_00000220,sample_00000220,0,0.76,Ah,1.0,0.47,0.544
sample_00006495,sample_00006495,0,3.52,"Today, after seeing him, I finally understand why you've been unable to let go of this man for so many years.",0.0,0.0,0.0
sample_00004059,sample_00004059,0,0.71,Let's go.,-0.812,0.648,-0.21
sample_00001721,sample_00001721,0,3.2,"Zhao Chong, you, you, you, you are too bold.",-0.756,0.66,0.208
sample_00004090,sample_00004090,0,1.0,Hahaha,0.0,0.0,0.0
sample_00002974,sample_00002974,0,3.48,I think I can go to the museum and scenic spots.,-0.812,0.648,-0.21
sample_00004884,sample_00004884,0,3.48,But there are some things that I really can't do.,0.0,0.0,0.0
sample_00003497,sample_00003497,0,4.28,"In this matter, both you and I are the main culprits.",0.0,0.0,0.0
sample_00001131,sample_00001131,0,0.68,,-0.756,0.66,0.208
