uttr_id,happy,angry,sad,neutral,worried,surprise,video_id,start,end,text
sample_00000000,1,0,0,0,0,0,sample_00000000,0,3.52,"I don't know! I, I, I don't have experience in this area."
sample_00000001,0,1,0,0,0,0,sample_00000001,0,1.64,"I'm reading, what are you making noise about?"
sample_00000002,0,1,0,0,0,0,sample_00000002,0,2.77,"I grew up in China, it wasn't easy for me. Could you give me a little more? Look, I'm very serious."
sample_00000004,0,0,0,0,1,0,sample_00000004,0,5.49,"I called, but the line was busy, and he insisted that I must go alone, otherwise he would destroy the golden Buddha."
sample_00000005,0,0,1,0,0,0,sample_00000005,0,5.8,I have a clean and sincere heart that faces emotions.
sample_00000006,1,0,0,0,0,0,sample_00000006,0,1.63,"I'm fine, I don't care about you."
sample_00000007,1,0,0,0,0,0,sample_00000007,0,4.65,"Be there or be square. Oh, okay, goodbye."
sample_00000008,0,0,1,0,0,0,sample_00000008,0,7.64,Just left me here alone.
sample_00000009,0,1,0,0,0,0,sample_00000009,0,4.64,"Otherwise, men will get tired of you, dislike you, look down on you, and eventually leave you."
sample_00000010,0,0,0,1,0,0,sample_00000010,0,1.46,
sample_00000011,0,0,0,0,1,0,sample_00000011,0,3.8,"Qi Xing took your house keys and went back to Yanjiao, I really had no other choice."
sample_00000014,0,0,0,0,1,0,sample_00000014,0,4.56,"Since Steven has already left, you should be very clear about your situation."
sample_00000017,0,0,0,1,0,0,sample_00000017,0,1.68,"It's nothing, don't be so formal, come by more often in the future."
sample_00000018,1,0,0,0,0,0,sample_00000018,0,3.54,"Alright, students, we are going to start the class now."
sample_00000019,1,0,0,0,0,0,sample_00000019,0,4.56,"Drinking too much hurts the body, but not drinking enough hurts my heart."
sample_00000020,0,1,0,0,0,0,sample_00000020,0,3.28,"Later on, we both got admitted to the Teachers' University."
sample_00000021,0,0,0,1,0,0,sample_00000021,0,3.4,Are you really willing to be with Xiaochuan?
sample_00000024,0,0,0,1,0,0,sample_00000024,0,2.9,"Later on, everyone can email us their thoughts on this project."
sample_00000025,0,1,0,0,0,0,sample_00000025,0,5.32,"Do you know how many sick people can't get in because you, a healthy person, are occupying a bed in our emergency room every day? Do you know how tight the bed situation is in our emergency room?"
sample_00000026,0,0,1,0,0,0,sample_00000026,0,1.12,Hmm.
sample_00000029,1,0,0,0,0,0,sample_00000029,0,2.8,"No wonder, I saw Qu Xiaoxiao holding a computer and a file folder."
sample_00000030,0,0,1,0,0,0,sample_00000030,0,2.16,"That's right, then come back to my side."
sample_00000031,0,0,0,0,1,0,sample_00000031,0,2.32,
sample_00000033,1,0,0,0,0,0,sample_00000033,0,3.88,"You know that the members of the Dragon Boat Team are still a group of rookies, how could such a group of rookies win the competition."
sample_00000034,0,0,0,1,0,0,sample_00000034,0,1.24,What?
sample_00000036,0,0,0,1,0,0,sample_00000036,0,6.36,"By the way, I'm not working overtime this weekend. Wei Wei and I are planning to go to Duidai Mountain to visit my younger brother."
sample_00000037,0,0,1,0,0,0,sample_00000037,0,5.2,"Whenever I need help, you are always by my side."
sample_00000038,1,0,0,0,0,0,sample_00000038,0,4.3,"Back then, I had a bad temper. Old Tan, who worked with me, suffered quite a bit because of me."
sample_00000039,0,0,0,0,0,1,sample_00000039,0,1.52,"I tell you, Cao Xiaoqiang, I am marrying you now."
sample_00000042,0,0,0,1,0,0,sample_00000042,0,4.57,"I have to move in, really, I'm particularly worried about you, really."
